id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
798,888 Casino,AE,Deposit Bonus,C$88 free deposit bonus at 888casino official for Canadian online gaming,C$88,Deposit Bonus,Requires deposit and login to 888casino official platform,Not specified,https://888-casino.org,2025-10-02T16:57:54.752315,-6885269666643479663,2025-10-02 15:08:10
801,888 Casino,AE,Found 'bonus' on page,bonus – c$88 free get bonus log in 888casino official ready for a thrill? 888 casino is your gateway to top-tier online gaming in canada.,C$88,Other,Log in required,Not specified,https://888-casino.org,2025-10-02T16:57:54.752315,3539771182010146071,2025-10-02 15:08:10
799,888 Casino,AE,Found 'free spins' on page,"free spins with zero strings attached (well, almost). this 888 casino no deposit bonus lets you dive straight in, test the waters, and get the reels spinning",Not specified,Free Spins,No deposit required,Not specified,https://888-casino.org,2025-10-02T16:57:54.752315,3551229012524953815,2025-10-02 15:08:10
800,888 Casino,AE,Welcome Bonus,New players at 888 casino can kick things off with a deposit match bonus,Not specified,Welcome Bonus,Deposit match for new players,Not specified,https://888-casino.org,2025-10-02T16:57:54.752315,-5147396738992685312,2025-10-02 15:08:10
797,Casinia,AE,Welcome Bonus,Casino welcome bonus 100% up to €500 + 200 free spins + 1 bonus crab. Includes VIP levels and access to live casino and sports betting.,100% up to €500 + 200 FS,Welcome Bonus,Includes 1 bonus crab. Full terms likely available in help centre.,Not specified,https://casinia.com,2025-10-02T16:59:59.861988,-947275687810869374,2025-10-02 15:08:10
794,Casinia,AE,Crypto Welcome Bonuses,"deposit bonus 100% up to €100 join now casino crypto welcome bonus 200% up to 3,000 usdt join now sport crypto welcome bonus 100% up to 200 usdt join","200% up to 3,000 USDT + 100% up to €100 + 100% up to 200 USDT",Welcome Bonus,"Multiple welcome bonuses for casino and sports betting, cryptocurrency deposits required",Not specified,https://casinia.com,2025-10-02T16:59:59.861988,-1846959219198426885,2025-10-02 15:08:10
789,Casinia,AE,Found 'free spins' on page,"Free spins! enjoy 350 no-wagering free spins on games like Eye of Horus, Fishin’ Frenzy, and more.",350 Free Spins,Free Spins,No-wagering free spins,Not specified,https://casinia.bet,2025-10-02T17:00:06.758779,521815365060096741,2025-10-02 15:08:10
790,Casinia,AE,Found 'jackpot' on page,jackpot 65100£ register trustworthy payments & exchanges on casinia-casino the payment methods featured on the site are convenient and secure for all,"£65,100",Jackpot,"Trustworthy payments and exchanges, convenient and secure payment methods",Not specified,https://casinia.bet,2025-10-02T17:00:06.758779,2669386043362998661,2025-10-02 15:08:10
795,Casinia,AE,Found 'jackpot' on page,jackpots sports live betting wheel of fortune new spin rally new challenges tournaments bonus crab shop vip levels english help centre casino live casino,Not specified,Jackpot,Not specified,Not specified,https://casinia.com,2025-10-02T16:59:59.861988,3978981285459824658,2025-10-02 15:08:10
792,Casinia,AE,No Deposit Bonus Promo Code,Bonus promo code no deposit bonus app sign in register. Luck lives in every bet! Play now spin on – win on!,Not specified,Other,"No deposit required, registration needed",Not specified,https://casinia.bet,2025-10-02T17:00:06.758779,-9180296193177323747,2025-10-02 15:08:10
791,Casinia,AE,Welcome Bonus,"Welcome bonus for signing up, you get 200 free spins, 100% up to £500, and 1 bonus crab. Reload bonus disbursed daily from Monday to Thursday",200 free spins + 100% up to £500,Welcome Bonus,Reload bonus disbursed daily from Monday to Thursday,Not specified,https://casinia.bet,2025-10-02T17:00:06.758779,5910132841433963753,2025-10-02 15:08:10
796,Casinia,AE,Welcome Bonus,"welcome bonus 100% up to €500 + 200 free spins + 1 bonus crab, sport first deposit bonus 100% up to €100, casino crypto welcome bonus 200% up",€500 + 200 FS + €100 + 200% crypto,Welcome Bonus,"Multiple welcome offers including casino, sports, and crypto deposits. Specific terms and wagering requirements not specified.",Not specified,https://casinia.com,2025-10-02T16:59:59.861988,-8134639517954184206,2025-10-02 15:08:10
784,EmirBet,AE,Found 'bonus' on page,bonus up to €1000 + 150 free spins games live casino sports betting bonuses games live casino sports betting bonuses sign up login emirbet emit bet ca,Up to €1000 + 150 Free Spins,Welcome Bonus,Details not specified in the provided text,Not specified,https://emirbet.casino,2025-10-02T17:03:03.445918,9162108198339642089,2025-10-02 15:08:10
811,Rabona,AE,Found 'bonus' on page,bonus crab niveles vip español centro de ayuda deportes apuestas en vivo casino bono de bienvenida crypto para deportes 100% hasta 200 usdt ¡únete ya!,100% up to 200 USDT,Welcome Bonus,Welcome bonus for crypto sports betting,Not specified,https://rabona.com,2025-10-02T16:56:20.200104,-4803692670998680672,2025-10-02 15:08:10
808,Rabona,AE,Found 'jackpot' on page,jackpots jackpots diarios jackpots calientes nuevos jackpots lucky jackpots jackpots todos los jackpots copas colecciones tienda desafíos torneos bonu,Not specified,Jackpot,No specific conditions provided in the description,Not specified,https://www.rabona.com,2025-10-02T16:56:38.027172,4023190286022241273,2025-10-02 15:08:10
