id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
343,JustCasino,AE,Deposit Bonus,"Deposit bonus 100% up to $1,111 + 100 free spins no bonus code required because space is full of surprises. Sign up second deposit bonus 100% up to $1,1","100% up to $1,111 + 100 free spins",Deposit Bonus,No bonus code required. Appears to be a first deposit bonus with mention of second deposit bonus.,,,https://www.justcasino.com,2025-10-14T11:18:51.237819,-452312793901266201,2025-10-14 09:30:22
319,JustCasino,AE,Deposit Bonus,"Deposit bonus 100% up to $1,111 + 100 free spins no bonus code required because space is full of surprises. Sign up second deposit bonus 100% up to $1,1","100% up to $1,111 + 100 Free Spins",Deposit Bonus,No bonus code required. Appears to be part of a welcome package with a second deposit bonus mentioned.,,,https://justcasino.com/bonuses,2025-10-14T11:19:41.475435,-7985153331041233368,2025-10-14 09:30:22
353,JustCasino,AE,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Welcome Bonus,"No bonus code required. Appears to be a welcome offer for the first and second deposit (second deposit: 100% up to $1,111 +50 Free Spins).",,,https://justcasino.com,2025-10-14T11:18:37.293638,-1697101300823899569,2025-10-14 09:30:22
329,JustCasino,AE,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Welcome Bonus,"No bonus code required. Appears to be a welcome offer (first deposit) and a second deposit bonus of 100% up to $1,111 + 50 free spins.",,,https://justcasino.com/offers,2025-10-14T11:19:33.695232,-4048313737001831210,2025-10-14 09:30:22
350,JustCasino,AE,Found 'free spins' on page,free spins nothing but casino join now! huge selection over 12 000 games 24hr support live chat in english no waiting fast withdrawals games see all p,,Free Spins,No specific conditions mentioned beyond free spins offer,,,https://justcasino.com,2025-10-14T11:18:37.293638,1423503415663599599,2025-10-14 09:30:22
351,JustCasino,AE,Found 'jackpot' on page,"jackpots ar-en en-au ca-en nz ar-en ar de at-de ch-de ch-fr no fi $7,777 + 300 free spins nothing but casino join now! huge selection over 12 000 game","$7,777 + 300 free spins",Jackpot,Available for multiple regions/countries,,,https://justcasino.com,2025-10-14T11:18:37.293638,221923625374687639,2025-10-14 09:30:22
339,JustCasino,AE,Found 'jackpot' on page,"$7,777 + 300 free spins at Nothing But Casino. Huge selection over 12,000 games.","$7,777 + 300 free spins",Welcome Bonus,"Join now. Available for multiple regions/languages: ar-en, en-au, ca-en, nz, ar-en, ar, de, at-de, ch-de, ch-fr, no, fi.",,,https://justcasino.com,2025-10-14T11:19:08.161548,-5783700920568960241,2025-10-14 09:30:22
352,JustCasino,AE,Found 'welcome' on page,"welcome offer $7,777 + 300 free spins join now! first deposit bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of","$7,777 + 300 Free Spins and 100% up to $1,111 + 100 Free Spins",Welcome Bonus,No bonus code required. Appears to be a combined welcome offer with a large bonus package and free spins on the first deposit.,,,https://justcasino.com,2025-10-14T11:18:37.293638,-2096430984705290261,2025-10-14 09:30:22
299,JustCasino,AE,Second Deposit Bonus,"100% bonus up to $1,111 + 100 free spins. No bonus code required. Also includes second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Deposit Bonus,No bonus code required. Applies to first and second deposits.,,,https://www.justcasino.com/offers,2025-10-14T11:20:17.753573,1745541494180862030,2025-10-14 09:30:22
341,JustCasino,AE,Second Deposit Bonus,"100% bonus up to $1,111 + 100 free spins. No bonus code required.","100% up to $1,111 + 100 Free Spins",Deposit Bonus,No bonus code required. Appears to be for second deposit.,,,https://justcasino.com,2025-10-14T11:19:08.161548,223366307918756161,2025-10-14 09:30:22
