id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
1315,Bitstarz,AT,Found 'bonus' on page,"bonus + 180 free spins withdraw within 5 min easy deposits instant cashouts get bonus dav**** won $26,719 bel**** won $21,423 roc**** won $27,120 sup*",180 free spins,Free Spins,"Withdraw within 5 min, easy deposits, instant cashouts",,,https://bitstarz.com/welcome-bonus,2025-10-15T17:12:51.236529,7264039339654991375,2025-10-15 15:22:55
1320,Bitstarz,AT,Found 'bonus' on page,"bonus & free spins rewards - bitstarz casino log in sign up help we have awarded 3 2 , 4 7 9 , 7 0 2 free spins and counting... sign up now level up &",479 Free Spins,Free Spins,Sign up required,,,https://bitstarz.com/bonuses,2025-10-15T17:12:43.871967,6561458477467849349,2025-10-15 15:22:55
1312,Bitstarz,AT,Found 'deposit' on page,deposit free spins for signup 100% deposit match up to 5 btc/500$ bonus + 180 free spins withdraw within 5 min easy deposits instant cashouts get bonu,Up to 5 BTC / $500 + 180 Free Spins,Welcome Bonus,"Free spins on signup, 100% deposit match, fast withdrawals",,,https://bitstarz.com/welcome-bonus,2025-10-15T17:12:51.236529,4088061562366881744,2025-10-15 15:22:55
1317,Bitstarz,AT,Found 'deposit' on page,"deposit get up to €400 or 4 btc on your next three deposits don’t worry, there’s plenty of bonuses to come after that vip club customize your own vip",Up to €400 or 4 BTC,Deposit Bonus,"Bonus is spread across the next three deposits. Further bonuses available afterwards, including a customizable VIP club.",,,https://bitstarz.com/bonuses,2025-10-15T17:12:43.872571,-576807140512805781,2025-10-15 15:22:55
1322,Bitstarz,AT,Found 'deposit' on page,deposit 2 play your bonuz mania spins 3 receive the first piggyz cash in the amount of 5x your deposit jackpotz mania,5x deposit amount,Deposit Bonus,Deposit to play bonus mania spins and receive a cash bonus of 5x the deposit amount. Part of Jackpotz Mania.,,,https://bitstarz.com/promotions,2025-10-15T17:12:35.951646,-3983029166193059314,2025-10-15 15:22:55
1305,Bitstarz,AT,Found 'free spins' on page,"free spins rewards - bitstarz casino log in sign up help we have awarded 3 2 , 4 7 9 , 7 0 2 free spins and counting... sign up now level up & get rew","32, 479, 702 free spins",Free Spins,Sign up required,,,https://www.bitstarz.com/bonuses,2025-10-15T17:13:14.627972,6970149864383790292,2025-10-15 15:22:55
1309,Bitstarz,AT,Found 'free spins' on page,free spins 0% ending in 22 d 20 : 46 : 53 originals tournament 1. iovi*** 13564 350 usd 2. s1n8*** 11771 250 usd 3. paul*** 9437 100 usd 4. al***** 73,Free Spins,Tournament,Tournament with prize pool in USD for top players. 0% free spins mentioned.,,22 days from the time the promotion was found,https://www.bitstarz.com/promotions,2025-10-15T17:13:06.304740,-5340918080466384220,2025-10-15 15:22:55
1318,Bitstarz,AT,Found 'free spins' on page,"free spins rewards - bitstarz casino log in sign up help we have awarded 3 2 , 4 7 9 , 7 0 2 free spins and counting... sign up now level up & get rew","32, 479, 702+ free spins",Free Spins,Sign up required,,,https://bitstarz.com/bonuses,2025-10-15T17:12:43.872571,-4437380574809925767,2025-10-15 15:22:55
1323,Bitstarz,AT,Found 'free spins' on page,free spins 0% ending in 22 d 20 : 47 : 24 originals tournament 1. iovi*** 13564 350 usd 2. s1n8*** 11771 250 usd 3. paul*** 9437 100 usd 4. al***** 73,Free Spins,Tournament,"Tournament with prize pool in USD for top players. 0% mentioned, possibly referring to no fee or 0% wagering on winnings, but not explicitly stated.",,22 days 20 hours 47 minutes 24 seconds from time of promotion,https://bitstarz.com/promotions,2025-10-15T17:12:35.951646,478568593361167349,2025-10-15 15:22:55
1310,Bitstarz,AT,Found 'jackpot' on page,"jackpotz mania 1. sad**** j$230,824.91 2. bus**** j$183,811.94 3. arm**** j$116,089.94 ending in 16 d 08 : 46 : 54 bonuz mania earn extra prizes on each","J$230,824.91, J$183,811.94, J$116,089.94",Jackpot,"Jackpotz mania promotion with countdown timer, bonuz mania for extra prizes",,16 days 08:46:54 from promotion display,https://www.bitstarz.com/promotions,2025-10-15T17:13:06.304740,-1314141405168276650,2025-10-15 15:22:55
1307,Bitstarz,AT,Piggyz Mania Tournament,Tournaments Piggyz Mania. How to activate your Piggyz: 1. Make a min $50 deposit 2. Play your bonuz mania spins 3. Receive the first Piggyz cash in the amount,Piggyz cash,Tournament,Minimum $50 deposit required,,,https://www.bitstarz.com/promotions,2025-10-15T17:13:06.304740,-2055476358697892513,2025-10-15 15:22:55
1303,Bitstarz,AT,Slot Wars & Table Wars Tournaments,"Tournaments with €5,000 prize pool + 5,000 free spins for slot players. €10,000 table wars for players who prefer table games.","€5,000 + 5,000 Free Spins and €10,000",Tournament,Win prizes by playing your favorite slots or table games.,,,https://www.bitstarz.com/bonuses,2025-10-15T17:13:14.627972,2525559917565996843,2025-10-15 15:22:55
1316,Bitstarz,AT,Slot Wars & Table Wars Tournaments,"Tournaments with €5,000 + 5,000 Free Spins in Slot Wars where you win prizes by playing your favorite slots, and €10,000 Table Wars for everyone who is more into table games.","€15,000 + 5,000 Free Spins",Tournament,Win prizes by playing your favorite slots or table games.,,,https://bitstarz.com/bonuses,2025-10-15T17:12:43.872571,402065245449746,2025-10-15 15:22:55
1325,Bitstarz,AT,Welcome Bonus,How to activate your Piggyz: 1. Make a min $50 deposit,,Welcome Bonus,Minimum $50 deposit required to activate Piggyz,,,https://bitstarz.com/promotions,2025-10-15T17:12:35.951646,-3446844939945232585,2025-10-15 15:22:55
1306,Bitstarz,AT,Welcome Package,Welcome package receive a 100% bonus + 180 free spins on your first deposit. Get up to €400 or 4 BTC on your next three deposits,100% bonus + 180 free spins + up to €400/4 BTC,Welcome Bonus,"First deposit gets 100% bonus + 180 free spins, next three deposits get up to €400 or 4 BTC",,,https://www.bitstarz.com/bonuses,2025-10-15T17:13:14.627972,6354631702238987225,2025-10-15 15:22:55
1327,CatCasino,AT,Found 'free spins' on page,Free spins and regular promotions: welcome bonus up to 400 EUR + 150 free spins. No Cat Casino no deposit bonus available for new players.,Up to 400 EUR + 150 Free Spins,Welcome Bonus,No deposit bonus for new players not available. Regular promotions mentioned.,,,https://catcasino.at,2025-10-15T17:11:37.081764,2755415768415384368,2025-10-15 15:22:55
1298,Hell Spin,AT,Found 'bonus' on page,bonus app spiele live-dealer anmelden registrieren 96 / 100 online casino von österreichischen spielern vertraut hellspin österreich jetzt registriere,,Other,Registration required,,,https://hellspin.at,2025-10-15T17:14:25.063677,-8681476986444016351,2025-10-15 15:22:55
