id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
999,888 Casino,BH,Deposit Bonus,C$88 free deposit bonus at 888casino official for online gaming in Canada,C$88,Deposit Bonus,Requires deposit and login to claim,Not specified,https://888-casino.org,2025-10-02T18:10:34.795258,-9007749311137533350,2025-10-02 16:26:27
1002,888 Casino,BH,Found 'bonus' on page,bonus – c$88 free get bonus log in 888casino official ready for a thrill? 888 casino is your gateway to top-tier online gaming in canada.,C$88,Other,Details not specified in the provided text,Not specified,https://888-casino.org,2025-10-02T18:10:34.795258,5441378238716073527,2025-10-02 16:26:27
1000,888 Casino,BH,Found 'free spins' on page,"free spins with zero strings attached (well, almost). this 888 casino no deposit bonus lets you dive straight in, test the waters, and get the reels spinning",Not specified,Free Spins,No deposit required,Not specified,https://888-casino.org,2025-10-02T18:10:34.795258,1059162740616993593,2025-10-02 16:26:27
1001,888 Casino,BH,Welcome Bonus,New players at 888 casino can kick things off with a deposit match bonus,Not specified,Welcome Bonus,Deposit match for new players,Not specified,https://888-casino.org,2025-10-02T18:10:34.795258,-6628030588538154017,2025-10-02 16:26:27
986,Casinia,BH,Casino Crypto Welcome Bonus,"deposit bonus 100% up to €100 read more casino crypto welcome bonus 200% up to 3,000 usdt read more sport crypto welcome bonus 100% up to 200 usdt","200% up to 3,000 USDT",Welcome Bonus,Crypto deposit required,Not specified,https://casinia.com/promotions,2025-10-02T18:12:52.653102,-4739462739231140484,2025-10-02 16:26:27
985,Casinia,BH,Casino Welcome Bonus,Casino welcome bonus 100% up to €500 + 200 fs,100% up to €500 + 200 Free Spins,Welcome Bonus,Standard welcome bonus terms and wagering requirements apply,Not specified,https://casinia.com/promotions,2025-10-02T18:12:52.653102,-540254719769269620,2025-10-02 16:26:27
994,Casinia,BH,Casino Welcome Bonus,tournaments bonus crab shop vip levels english help centre casino live casino sports casino welcome bonus 100% up to €500 + 200 fs + 1 bonus crab join,100% up to €500 + 200 Free Spins + 1 Bonus Crab,Welcome Bonus,"Includes free spins, bonus crab, and access to tournaments and VIP levels. Full terms available in the help centre.",Not specified,https://casinia.com,2025-10-02T18:12:28.404635,-8135360015808080293,2025-10-02 16:26:27
995,Casinia,BH,Found 'deposit' on page,"deposit bonus 100% up to €100 join now casino crypto welcome bonus 200% up to 3,000 usdt join now sport crypto welcome bonus 100% up to 200 usdt join","100% up to €100 + 200% up to 3,000 USDT + 100% up to 200 USDT",Welcome Bonus,"Multiple welcome bonuses for casino and sports, crypto deposits required",Not specified,https://casinia.com,2025-10-02T18:12:28.404635,3610854277019238286,2025-10-02 16:26:27
987,Casinia,BH,Found 'free spins' on page,free spins read more sport weekend reload bonus 50% up to €750 read more casino weekend crypto reload bonus 75% up to 750 usdt + 100 fs read more spo,"€750, 750 USDT + 100 FS",Deposit Bonus,"Weekend reload bonus for sports and casino, separate crypto bonus available",Weekend,https://casinia.com/promotions,2025-10-02T18:12:52.653102,1766132234356088789,2025-10-02 16:26:27
990,Casinia,BH,Found 'free spins' on page,"Free spins! enjoy 350 no-wagering free spins on games like eye of horus, fishin’ frenzy, and more.",350 free spins,Free Spins,No-wagering free spins on specified games,Not specified,https://casinia.bet,2025-10-02T18:12:33.901945,-1485261440367530405,2025-10-02 16:26:27
