id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
1337,Crowngold,CH,Found 'free spins' on page,"Free spins start winning 12 min average cashout time. €11,413 total cashout last month 7000+ licensed games €5,433 last big win in gravity blackjack",Not specified,Free Spins,"12 minute average cashout time, 7000+ licensed games available",,,https://crowngold.com,2025-10-15T17:33:00.893767,-2751606629559898601,2025-10-15 15:38:46
1338,Crowngold,CH,Found 'welcome' on page,"welcome pack up to €750 + 225 free spins start winning 12 min average cashout time. €11,413 total cashout last month 7000+ licensed games €5,433 last",up to €750 + 225 free spins,Welcome Bonus,"12 min average cashout time, 7000+ licensed games",,,https://crowngold.com,2025-10-15T17:33:00.893767,7215106364285538587,2025-10-15 15:38:46
1336,Crowngold,CH,VIP Tournament,"Tournaments for VIP loyalty. Welcome pack up to €750 + 225 free spins. Start winning with 12 min average cashout time. €11,413 total cash",€750 + 225 free spins,Welcome Bonus,"VIP loyalty tournaments, 12 min average cashout time, €11,413 total cash",,,https://crowngold.com,2025-10-15T17:33:00.893767,6797882993457569301,2025-10-15 15:38:46
1335,Crowngold,CH,Welcome Pack,Welcome pack up to €750 + 225 free spins. Start winning. 12 min average cash. Promotions include wheel of fortune and tournaments. VIP loyalty info available on login.,Up to €750 + 225 free spins,Welcome Bonus,Available on sign up. Requires login to access VIP loyalty information.,,,https://crowngold.com/promotions,2025-10-15T17:33:05.843078,8264056766254841113,2025-10-15 15:38:46
1365,Dazard,CH,Deposit Bonus +100% Bonus +100 Free Spins,"deposit bonus +100% bonus +100 free spins bgaming drops frenzy fest turbo €4,000,000 are here! join telegram bonus 50% on deposit + 30 fs join in depo",100% match + 100 Free Spins,Deposit Bonus,"Multiple promotions mentioned including tournament (Bgaming Drops Frenzy Fest Turbo with €4,000,000 prize pool) and Telegram bonus (50% on deposit + 30 Free Spins). Specific terms not detailed.",,,https://dazard.com,2025-10-15T17:28:49.093690,-7658793211733757159,2025-10-15 15:38:46
1366,Dazard,CH,Found 'free spins' on page,Free spins up to 8200 € games of the week tournament play and win get your first deposit bonus +100% bonus +100 free spins bgaming drops frenzy fest,Up to €8200 in free spins + 100% deposit match + 100 free spins,Free Spins,"First deposit bonus, games of the week tournament, BGaming Drops Frenzy Fest",,,https://dazard.com,2025-10-15T17:28:49.093690,3882053087735005362,2025-10-15 15:38:46
1364,Dazard,CH,Tournament,"Tournaments featuring Playson & Booongo games including Coin Empire, 3 Oaks, Turbo Wins. Network campaign with Playson & Booongo. The Big Sunday Blast. Games of the week from BGaming with drops.",,Tournament,"Specific games from Playson, Booongo, and BGaming are featured in the tournaments and promotions.",,,https://dazard.com,2025-10-15T17:28:49.093690,-516238414584691728,2025-10-15 15:38:46
1367,Dazard,CH,welcome pack,welcome pack +300% bonus +150 free spins up to 8200 € games of the week tournament play and win get your first deposit bonus +100% bonus +100 free spins,Up to 8200 € + 150 Free Spins + 100 Free Spins,Welcome Bonus,Welcome pack includes +300% bonus +150 free spins. First deposit bonus offers +100% bonus +100 free spins. Includes games of the week tournament.,,,https://dazard.com,2025-10-15T17:28:49.093690,8436075257951121598,2025-10-15 15:38:46
1348,FeliceBet,CH,Found 'welcome' on page,"welcomes you with a joyful stream of bonuses designed to delight. kick things off with a generous welcome bonus, followed by weekly reloads, free spin",,Welcome Bonus,Welcome bonus followed by weekly reloads and free spins,,,https://felicebet.net,2025-10-15T17:31:24.323155,8637170617884599754,2025-10-15 15:38:46
1349,SlotsVader,CH,Deposit Bonus,"deposit bonus offers and weekly cashback deals to free spins, vip loyalty rewards, and personalized promotions designed to elevate your gameplay.",,Deposit Bonus,"Includes weekly cashback, free spins, VIP loyalty rewards, and personalized promotions.",,,https://slotsvader.net,2025-10-15T17:30:19.510985,5048805165570587108,2025-10-15 15:38:46
1350,SlotsVader,CH,Found 'free spins' on page,"free spins, vip loyalty rewards, and personalized promotions designed to elevate your gameplay. explore an evolving lineup of top-rated titles",,Free Spins,"free spins, vip loyalty rewards, and personalized promotions",,,https://slotsvader.net,2025-10-15T17:30:19.510985,1679892305480035904,2025-10-15 15:38:46
1351,SlotsVader,CH,Welcome to the Rainbet Casino VIP Club,"Welcome to the Rainbet Casino VIP Club, where high-stakes players enjoy elite perks and rewards! Get access to tailored bonuses, higher cashback deals",,Other,"For high-stakes VIP players, includes tailored bonuses and higher cashback",,,https://slotsvader.net,2025-10-15T17:30:19.510985,-9217467441861396329,2025-10-15 15:38:46
