id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
1043,888 Casino,JO,Deposit Bonus,C$88 free deposit bonus at 888casino official for Canadian online gaming,C$88,Deposit Bonus,Requires deposit and login to claim,Not specified,https://888-casino.org,2025-10-02T18:28:52.524408,-6579306108734494740,2025-10-02 16:41:43
1046,888 Casino,JO,Found 'bonus' on page,bonus – c$88 free get bonus log in 888casino official ready for a thrill? 888 casino is your gateway to top-tier online gaming in canada.,C$88,Other,Details not specified in the provided text,Not specified,https://888-casino.org,2025-10-02T18:28:52.524408,-4668902315716355250,2025-10-02 16:41:43
1044,888 Casino,JO,Found 'free spins' on page,"free spins with zero strings attached (well, almost). this 888 casino no deposit bonus lets you dive straight in, test the waters, and get the reels spinning",Not specified,Free Spins,No deposit required,Not specified,https://888-casino.org,2025-10-02T18:28:52.524408,5826123288119231123,2025-10-02 16:41:43
1045,888 Casino,JO,Welcome Bonus,New players at 888 casino can kick things off with a deposit match bonus,Not specified,Welcome Bonus,Deposit match offer for new players,Not specified,https://888-casino.org,2025-10-02T18:28:52.524408,-4336840409890218042,2025-10-02 16:41:43
1039,Casinia,JO,Crypto Welcome Bonus,"deposit bonus 100% up to €100 join now casino crypto welcome bonus 200% up to 3,000 usdt join now sport crypto welcome bonus 100% up to 200 usdt join","200% up to 3,000 USDT",Welcome Bonus,"For casino, minimum deposit required. Terms and conditions apply.",Not specified,https://casinia.com,2025-10-02T18:30:54.564263,-2114090229070030278,2025-10-02 16:41:43
1029,Casinia,JO,Casino Welcome Bonus,Casino welcome bonus 100% up to €500 + 200 free spins,100% up to €500 + 200 FS,Welcome Bonus,Standard welcome bonus terms and wagering requirements apply,Not specified,https://casinia.com/promotions,2025-10-02T18:31:19.691449,-806947256745198777,2025-10-02 16:41:43
1038,Casinia,JO,Casino Welcome Bonus,tournaments bonus crab shop vip levels english help centre casino live casino sports casino welcome bonus 100% up to €500 + 200 fs + 1 bonus crab join,100% up to €500 + 200 Free Spins + 1 Bonus Crab,Welcome Bonus,"Includes free spins, bonus crab, and access to tournaments and VIP levels. Specific wagering requirements not detailed.",Not specified,https://casinia.com,2025-10-02T18:30:54.565262,865798627847783949,2025-10-02 16:41:43
1031,Casinia,JO,Found 'free spins' on page,free spins read more sport weekend reload bonus 50% up to €750 read more casino weekend crypto reload bonus 75% up to 750 usdt + 100 fs read more spo,"Up to €750 + 100 FS, Up to 750 USDT + 100 FS",Deposit Bonus,Weekend reload bonus for sports and casino; Separate crypto reload bonus available; Minimum deposit and wagering requirements likely apply,Weekend,https://casinia.com/promotions,2025-10-02T18:31:19.691449,-4773675623993006028,2025-10-02 16:41:43
1034,Casinia,JO,Found 'free spins' on page,"free spins! enjoy 350 no-wagering free spins on games like eye of horus, fishin’ frenzy, and more. details casinia online website slot games slot game",350,Free Spins,No-wagering free spins on specified games,Not specified,https://casinia.bet,2025-10-02T18:31:00.268591,-2787958831506869405,2025-10-02 16:41:43
1035,Casinia,JO,Found 'jackpot' on page,jackpot 65100£ register trustworthy payments & exchanges on casinia-casino the payment methods featured on the site are convenient and secure for all,"£65,100",Jackpot,"Trustworthy payments and exchanges, convenient and secure payment methods",Not specified,https://casinia.bet,2025-10-02T18:31:00.268591,4346736858314377668,2025-10-02 16:41:43
1040,Casinia,JO,Found 'jackpot' on page,jackpots sports live betting wheel of fortune new spin rally new challenges tournaments bonus crab shop vip levels english help centre casino live casino,Not specified,Jackpot,Not specified,Not specified,https://casinia.com,2025-10-02T18:30:54.564263,-217985395124894538,2025-10-02 16:41:43
1037,Casinia,JO,No Deposit Bonus Promotion,Bonus promo code no deposit bonus for new players. Sign in and register to claim your offer. Spin and win with this promotion.,Not specified,Other,"No deposit required, registration needed. Specific bonus amount and wagering requirements not clearly stated in the provided text.",Not specified,https://casinia.bet,2025-10-02T18:31:00.268591,-8067190070517423711,2025-10-02 16:41:43
1028,Casinia,JO,The Masters Tournament,"Tournament with a prize pool of €1,500. Minimum bet: €10.00. Ends in: 19d 04:28:02","€1,500",Tournament,Minimum bet: €10.00,19 days from now,https://casinia.com/tournaments,2025-10-02T18:31:56.660344,-159001042601168032,2025-10-02 16:41:43
1032,Casinia,JO,Welcome Bonus,Welcome bonus 100% up to €500 + 200 free spins + 1 bonus crab. Sport first deposit bonus 100% up to €100. Casino crypto welcome bonus 200%,100% up to €500 + 200 FS,Welcome Bonus,"Multiple welcome bonuses available including sports, casino, and crypto. Specific terms and wagering requirements apply.",Not specified,https://casinia.com/promotions,2025-10-02T18:31:19.691449,-4857996712877520245,2025-10-02 16:41:43
1036,Casinia,JO,Welcome Bonus,"Welcome bonus for signing up, you get 200 free spins, 100% up to £500, and 1 bonus crab. Reload bonus disbursed daily from Monday to Thursday",200 free spins + 100% up to £500,Welcome Bonus,Reload bonus available Monday to Thursday,Not specified,https://casinia.bet,2025-10-02T18:31:00.268591,-5803080695591844998,2025-10-02 16:41:43
1041,Casinia,JO,Welcome Bonus,welcome bonus 100% up to €500 + 200 fs + 1 bonus crab join now sport first deposit bonus 100% up to €100 join now casino crypto welcome bonus 200% up,"100% up to €500 + 200 Free Spins + 1 Bonus Crab (Casino), 100% up to €100 (Sport), 200% (Crypto Casino)",Welcome Bonus,"Multiple welcome bonuses available for casino, sports, and crypto deposits",Not specified,https://casinia.com,2025-10-02T18:30:54.564263,3741378938702403701,2025-10-02 16:41:43
1025,EmirBet,JO,Found 'bonus' on page,bonus up to €1000 + 150 free spins games live casino sports betting bonuses games live casino sports betting bonuses sign up login emirbet emit bet ca,Up to €1000 + 150 Free Spins,Welcome Bonus,Details not specified in the provided text,Not specified,https://emirbet.casino,2025-10-02T18:34:08.599394,1307952948668519376,2025-10-02 16:41:43
1049,Rabona,JO,Found 'bonus' on page,bonus crab niveles vip español centro de ayuda deportes apuestas en vivo casino bono de bienvenida crypto para deportes 100% hasta 200 usdt ¡únete ya!,100% up to 200 USDT,Welcome Bonus,Crypto welcome bonus for sports betting,Not specified,https://rabona.com,2025-10-02T18:27:15.224804,6644095134900172980,2025-10-02 16:41:43
1047,Rabona,JO,VIP Tournament,Active tournament 'Los Maestros' with a prize pool. Minimum bet requirement applies.,1500 €,Tournament,Minimum bet: 10.00 €,Active until finished,https://rabona.com/tournaments,2025-10-02T18:28:26.459174,7610664738731444878,2025-10-02 16:41:43
1027,Rooster bet,JO,Found 'bonus' on page,bonus 100% up to $1000 games sport cybersport promo tournaments lotteries login sign up login sign up games sport cybersport promo tournaments lotteri,100% up to $1000,Deposit Bonus,"Mention of sports, cybersport, tournaments, and lotteries. Specific wagering requirements not detailed.",Not specified,https://roosterbet.bet,2025-10-02T18:32:28.382430,9085838452602802468,2025-10-02 16:41:43
1026,Rooster bet,JO,Found 'free spins' on page,Free spins get bonus navigation open close an overview of rooster bet casino canada main advantages of rooster bet popular games and slots at rooster bet,Unspecified,Free Spins,No specific conditions mentioned,Not specified,https://roosterbet.bet,2025-10-02T18:32:28.382430,-5477485644992867195,2025-10-02 16:41:43
