id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
1751,888 Casino,KW,VIP Levels,Welcome to the pinnacle of gaming! Reaching VIP status at 888casino is the gateway to the ultimate gaming experience. It's your golden ticket to exclusive benefits.,,vip levels,Reaching VIP status required,,,https://www.ar888games1.com/en/vip-programme,2025-11-11T22:12:36.426337,-888425186142877401,2025-11-11 21:24:08
1763,888 Casino,KW,Bonus Wheel,Spin the daily bonus wheel and get up to 100% bonus. Sign up and deposit now to receive 100% up to $1000 bonus.,Up to $1000,Deposit Bonus,"Daily bonus wheel, requires deposit",,,https://www.ar888games1.com/en,2025-11-11T22:12:20.814000,-949332825483771353,2025-11-11 21:24:08
1756,888 Casino,KW,Found 'deposit' on page,Depositor? You don’t want to miss this fantastic offer T&Cs apply get 100% up to $1000 on your first deposit with 888casino!,100% up to $1000,Welcome Bonus,Applies to first deposit only. Terms and conditions apply.,,,https://www.ar888games1.com/en/promotions,2025-11-11T22:12:28.399861,-3121714454165847704,2025-11-11 21:24:08
1760,888 Casino,KW,Found 'free spins' on page,Free spins that actually pay out. Some are our own exclusive games you literally can't play anywhere else. Table games roulette (European's got better odds),Not specified,Free Spins,Free spins on exclusive games not available elsewhere; mentions European roulette having better odds,,,https://www.ar888games1.com/en,2025-11-11T22:12:20.814000,4303930305379006396,2025-11-11 21:24:08
1752,888 Casino,KW,Found 'jackpot' on page,"Jackpots 888 exclusive promotions sports VIP club. Enjoy the rewards of the 888 casino VIP club. Welcome to the 888 casino VIP club, a new dimension in exclusive benefits.",,Exclusive_benefits,"Promotion related to the 888 Casino VIP Club, offering exclusive rewards and benefits. Specific bonus amounts or conditions for entry are not detailed.",,,https://www.ar888games1.com/en/vip-programme,2025-11-11T22:12:36.426337,6317932768818534411,2025-11-11 21:24:08
1764,888 Casino,KW,Found 'jackpot' on page,"Jackpot gold 117,803.23€, Gates of Olympus, Super Scatter Gold Blitz, Ultimate Minerales Magicos, new online casino games, Banana Rush, Sweet Rush","117,803.23€",Jackpot,"Jackpot promotion for various slot games including Gates of Olympus, Banana Rush, and Sweet Rush",,,https://www.888casino.com,2025-11-11T22:12:08.446149,672124009890252427,2025-11-11 21:24:08
1754,888 Casino,KW,Loyalty Points,Earn points just by playing at 888casino and redeem them for cash!,,loyalty points,"Points earned by playing, redeemable for cash. T&Cs apply.",,,https://www.ar888games1.com/en/promotions,2025-11-11T22:12:28.399861,-2927786156237533434,2025-11-11 21:24:08
1758,888 Casino,KW,Loyalty Points System,Every bet earns points. Get 100 points? That's $/€/£1 back in your pocket. Simple math. Monday free spins when you deposit at least $/€/£20 on Monday.,$/€/£1 cashback per 100 points + Monday Free Spins,loyalty points,Deposit at least $/€/£20 on Monday to receive free spins,,,https://www.ar888games1.com/en,2025-11-11T22:12:20.814000,-5961397206642012662,2025-11-11 21:24:08
1755,888 Casino,KW,Tournament,"Tournament tickets, money-back deals, and similar perks. Casinos create these to maintain player interest and satisfaction.",,Tournament,How to claim a welcome bonus,,,https://www.ar888games1.com/en/promotions,2025-11-11T22:12:28.399861,2884898569409487463,2025-11-11 21:24:08
1759,888 Casino,KW,VIP Club,Spin the daily bonus wheel and get up to 100% bonus! Deposit now to spin the daily bonus wheel and get up to 100% bonus. Sign up and deposit to access the VIP club benefits.,Up to 100% bonus,Exclusive_benefits,Available to VIP club members. Must deposit to spin the daily bonus wheel.,,,https://www.ar888games1.com/en,2025-11-11T22:12:20.814000,7630572932659624433,2025-11-11 21:24:08
1761,888 Casino,KW,Welcome Bonus,"Make your first deposit and we match it 100% up to $/€/£1,000. No tricks, no complicated terms. Can I play on my phone?","100% up to $/€/£1,000",Welcome Bonus,First deposit only. Mobile play available.,,,https://www.ar888games1.com/en,2025-11-11T22:12:20.814000,8739899570726267441,2025-11-11 21:24:08
1757,888 Casino,KW,Welcome Offer,100% matched free bet up to $50 on your first 888sport bet. Get 10% extra winnings every day! T&Cs apply,up to $50,Welcome Bonus,"T&Cs apply, first bet only",,,https://www.ar888games1.com/en/promotions,2025-11-11T22:12:28.399861,193411002072783367,2025-11-11 21:24:08
1748,EmirBet,KW,Weekly Cashback,Weekly cashback refund up to 10% on losses. Emirbet supports various secure payment methods for deposits and withdrawals.,Up to 10%,Cashback,Cashback based on weekly losses,,,https://emirbet.net,2025-11-11T22:18:20.733899,4218991472343195,2025-11-11 21:24:08
1766,Rabona,KW,Found 'free spins' on page,free spins no deposit casinos 50 free spins no deposit casinos 100 free spins no deposit casinos 150 free spins no deposit casinos $1 min deposit casi,"50, 100, 150 Free Spins",Free Spins,No deposit required for free spins. Also mentions a $1 minimum deposit casino.,,,https://arabcasinostars.com/en/review/casino-rabona/,2025-11-11T22:11:37.833524,-8805411455579427321,2025-11-11 21:24:08
1765,Rabona,KW,VIP Program,"Rabona features a tiered VIP program that rewards loyal players with exclusive bonuses, higher withdrawal limits, and personal account management.",,Exclusive_benefits,"Tiered program for loyal players, includes exclusive bonuses, higher withdrawal limits, and personal account management",,,https://arabcasinostars.com/en/review/casino-rabona/,2025-11-11T22:11:37.833524,1219658388440334959,2025-11-11 21:24:08
1767,Rabona,KW,Welcome Bonus,"100% match up to $500 + 200 free spins. Compatible devices: Android, Mac/PC, Tablet. Customer support available via email and live chat.",100% up to $500 + 200 free spins,Welcome Bonus,,,,https://arabcasinostars.com/en/review/casino-rabona/,2025-11-11T22:11:37.833524,5915056298752175497,2025-11-11 21:24:08
