id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
1102,Jackpot City,NZ,Found 'jackpot' on page,"jackpotcity – play your favourite casino games for free! thursday, october 2, 2025 latest: fly x foxpot pachinko 9 masks of fire ™ animals of africa ™",Not specified,Jackpot,Play favorite casino games for free,2025-10-02,https://jackpotcity.net,2025-10-02T18:42:34.634966,-2604388388155606695,2025-10-02 16:56:10
1097,Spincasino,NZ,First Deposit Bonus,"Spin Casino will double your first deposit up to $400 AUD, giving you twice as much to play with",Up to $400 AUD,Deposit Bonus,First deposit only,Not specified,https://spincasino.bet,2025-10-02T18:44:22.118466,-8339085388819070750,2025-10-02 16:56:10
1098,Spincasino,NZ,Found 'free spins' on page,free spins] from spinstralia! get bonus,Not specified,Free Spins,Not specified,Not specified,https://spincasino.bet,2025-10-02T18:44:22.118466,7268263590056294702,2025-10-02 16:56:10
1100,Wildz,NZ,Bonus Wickederrr Wins - Fortune Pick Hold & Respin Lucky Streak,"1000 Crown Coins, Very Pink 2023 Hit Slot, Battle of Myths Jackpot. Show all (152) net games.",1000 Crown Coins,Other,Details not fully specified,Not specified,https://wildz.net,2025-10-02T18:43:28.810525,-7711719556009447011,2025-10-02 16:56:10
1099,Wildz,NZ,Found 'jackpot' on page,jackpot show all (152) net gains dream drop fire and roses joker 2 all-in king millions enchanted wolf rising rewards king millions gonzo's quest mega,Not specified,Jackpot,Jackpot information page listing various jackpot games,Not specified,https://wildz.net,2025-10-02T18:43:28.810525,5371047629528753340,2025-10-02 16:56:10
1095,betvictor,NZ,Found 'bonus' on page,bonus up to nz$1500 games sport cybersport promo tournaments lotteries,up to NZ$1500,Other,Details not specified in provided text,Not specified,https://www.betvictor.co.nz,2025-10-02T18:47:57.545071,2606191213854888174,2025-10-02 16:56:10
1094,betvictor,NZ,Welcome Bonus,welcome bonus up to nz$1500 games sport cybersport promo tournaments lotteries,up to NZ$1500,Welcome Bonus,Not specified in provided text,Not specified,https://www.betvictor.co.nz,2025-10-02T18:47:57.545071,4469993140084318689,2025-10-02 16:56:10
1090,highroller,NZ,Found 'free spins' on page,"free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthly cash prizes – join dr",$10.8 million (total prize pool),Free Spins,Non-stop drops & races; Monthly cash prizes; Highroller program mentioned,Not specified,https://www.highroller.nz,2025-10-02T18:49:36.536686,1034764957222365660,2025-10-02 16:56:10
1093,highroller,NZ,Found 'bonus' on page,"bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthly",up to $500 + 200 free spins,Deposit Bonus,"Non-stop drops & races, level up at highroller - play more earn more",Not specified,https://www.highroller.nz,2025-10-02T18:49:36.536686,-3559558364797944881,2025-10-02 16:56:10
1076,highroller,NZ,Found 'jackpot' on page,jackpot splash! sunday swagger – your happy hour bonus! every week – pick & play! deposit & get free spins – your choice!,Not specified,Jackpot,"Deposit required, free spins choice available",Weekly (Sunday),https://www.highroller.nz/offers,2025-10-02T18:50:04.943032,4401649331663817562,2025-10-02 16:56:10
1077,highroller,NZ,Let's Roll - 100% Bonus up to $500 + 200 Free Spins,100% bonus up to $500 plus 200 free spins. $10.8M in non-stop drops & races. Level up at Highroller.,100% up to $500 + 200 Free Spins,Welcome Bonus,Wagering requirements and other terms apply. Details not fully specified in the source.,Not specified,https://www.highroller.nz/offers,2025-10-02T18:50:04.943032,1947679000459863004,2025-10-02 16:56:10
1088,highroller,NZ,Let’s Roll – 100% Bonus up to $500 + 200 Free Spins!,bonuses at highroller nz skip to content pokies live casino promotions expand let’s roll – 100% bonus up to $500 + 200 free spins! $10.8m in non-stop,100% up to $500 + 200 Free Spins,Deposit Bonus,Not specified in the provided text,Not specified,https://www.highroller.nz/promotions,2025-10-02T18:49:53.985787,2074223151898029265,2025-10-02 16:56:10
1087,highroller,NZ,Let's Roll – 100% Bonus up to $500 + 200 Free Spins!,100% deposit bonus up to $500 plus 200 free spins for $10.,Up to $500 + 200 Free Spins,Welcome Bonus,$10 deposit required,Not specified,https://www.highroller.nz/promotions,2025-10-02T18:49:53.985787,7162680613745032953,2025-10-02 16:56:10
1083,highroller,NZ,Tournament,"Grab your share of a $5,000 prize pool by landing the biggest wins on selected slots. Every $0.40 bet could also land you a spot on the leaderboard.","$5,000 prize pool",Tournament,"Land the biggest wins on selected slots, every $0.40 bet counts",Not specified,https://www.highroller.nz/promotions,2025-10-02T18:49:53.985787,2045947147350220506,2025-10-02 16:56:10
1086,highroller,NZ,Welcome Bonus,"Welcome bonus works at Highroller, offering a parachute bonus. 100% bonus up to $500 + 200 free spins!",Up to $500 + 200 Free Spins,Welcome Bonus,Also known as parachute bonus. Further details required.,Not specified,https://www.highroller.nz/promotions,2025-10-02T18:49:53.985787,1310258011416414530,2025-10-02 16:56:10
1096,skycitycasino,NZ,Found 'bonus' on page,"bonus + 1,000 skycoins we're sorry but skycity casino doesn't work properly without javascript enabled. please enable it to continue. register log in","1,000 skycoins",Other,Requires JavaScript to be enabled; Registration or login required,Not specified,https://skycitycasino.com,2025-10-02T18:46:34.908601,6877963116256688650,2025-10-02 16:56:10
