id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
1007,1xBet,QA,Deposit Bonus,Register and receive a bonus on the 1st deposit. Place bets on English Premier League matches to get free bets.,,Deposit Bonus,Available for new players on first deposit. Must place bets on English Premier League matches to qualify for free bets.,,,https://1xbet.com,2025-10-15T12:53:15.425253,2598942244613782898,2025-10-15 11:10:58
1255,1xBet,QA,Found 'free spins' on page,Free spins register hyper bonus win and get a guaranteed bonus of up to 250%! Take part no risk bet did your bet lose? Get a refund! Place a bet 1xpun,Up to 250% bonus + free spins,Free Spins,"No risk bet with refund if bet loses, 1xpun bet requirement mentioned",,,https://1xbet.com,2025-10-15T14:56:01.506448,-2524992225308143314,2025-10-15 13:12:49
1008,1xBet,QA,Found 'free spins' on page,Free spins register hyper bonus win and get a guaranteed bonus of up to 250%! Take part no risk bet. Did your bet lose? Get a refund! Place a bet 1xpun,Up to 250% bonus + free spins,Free Spins,"No risk bet with refund if bet loses, registration required",,,https://1xbet.com,2025-10-15T12:53:15.425253,4999841348870376608,2025-10-15 11:10:58
1010,1xBet,QA,Star League Bet on Champions League Stars,"Take part in the Star League, bet on Champions League stars and win 70,000 USD. Register and receive a first deposit bonus.","70,000 USD",Tournament,"First deposit bonus, registration required",,,https://1xbet.com,2025-10-15T12:53:15.425253,5483974253984527913,2025-10-15 11:10:58
1009,1xBet,QA,welcome package,"welcome package up to €1,500 + 150 free spins register hyper bonus win and get a guaranteed bonus of up to 250%! take part no risk bet did your bet lo","up to €1,500 + 150 free spins",Welcome Bonus,"guaranteed bonus of up to 250%, no risk bet",,,https://1xbet.com,2025-10-15T12:53:15.425253,2235038541624818086,2025-10-15 11:10:58
1002,EmirBet,QA,Deposit Bonus,"€10 free bet on first bets, weekly cashback refund up to 10% on losses, payment methods",€10 Free Bet,Deposit Bonus,"Free bet on first cash bets, weekly cashback up to 10% on losses",,,https://emirbet.net,2025-10-15T12:59:46.357241,-9004745318238565231,2025-10-15 11:10:58
985,JustCasino,QA,Deposit Bonus,"Deposit bonus 100% up to $1,111 + 100 free spins no bonus code required because space is full of surprises. Sign up second deposit bonus 100% up to $1,1","100% up to $1,111 + 100 free spins",Deposit Bonus,No bonus code required. Appears to be part of a welcome package with first and second deposit bonuses.,,,https://justcasino.com,2025-10-15T13:00:24.818438,6857827863330497212,2025-10-15 11:10:58
1001,JustCasino,QA,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Welcome Bonus,"No bonus code required. Appears to include a first deposit bonus (100% up to $1,111 + 100 Free Spins) and a second deposit bonus (100% up to $1,111 + 50 Free Spins).",,,https://justcasino.com,2025-10-15T13:00:04.514266,6013512838004294239,2025-10-15 11:10:58
989,JustCasino,QA,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Welcome Bonus,"No bonus code required. Appears to be a sign-up offer and a second deposit bonus (100% up to $1,111 + 50 Free Spins).",,,https://justcasino.com,2025-10-15T13:00:24.818438,7901948198703391456,2025-10-15 11:10:58
986,JustCasino,QA,Found 'free spins' on page,"Free spins nothing but casino join now! Huge selection over 12,000 games, 24hr support live chat in English, no waiting, fast withdrawals.",Not specified,Free Spins,No specific conditions mentioned for the free spins offer,,,https://justcasino.com,2025-10-15T13:00:24.818438,-4258364844014885633,2025-10-15 11:10:58
