id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
93,10bet,AE,"




10Bet - 10bet






10Bet - 10bet
































10bet








 









🎰
🎲
","




10Bet - 10bet






10Bet - 10bet
































10bet








 









🎰
🎲
♠️
♥️
♦️
♣️



      Casino Games – Trusted Bookmaker, High Security, and Attractive Promotions
    

      If you are looking for a trusted bookmaker with high security and attractive payout rates, 
      Casino Games is the perfect choice",,Other,,,https://10bet.casino,2025-09-30T10:14:41.652129,-3620869164403282158,1,2025-09-30 08:14:41
142,10bet,AE,"




10Bet - 10bet






10Bet - 10bet
































10bet








 









🎰
🎲
","




10Bet - 10bet






10Bet - 10bet
































10bet








 









🎰
🎲
♠️
♥️
♦️
♣️



      Casino Games – Trusted Bookmaker, High Security, and Attractive Promotions
    

      If you are looking for a trusted bookmaker with high security and attractive payout rates, 
      Casino Games is the perfect choice",,Other,,,https://www.10bet.casino,2025-09-30T10:26:07.627908,7404035679554392022,1,2025-09-30 08:26:11
92,10bet,AE,"
View our marketsTechnologyWelcome to Geek CityBack in 2003 we followed the footsteps of giants, mas","
View our marketsTechnologyWelcome to Geek CityBack in 2003 we followed the footsteps of giants, mastering all the betting industry had to offer",,Welcome Bonus,,,https://www.10bet.org,2025-09-30T10:14:40.569025,9076903521815872866,1,2025-09-30 08:14:41
143,10bet,AE,"
View our marketsTechnologyWelcome to Geek CityBack in 2003 we followed the footsteps of giants, mas","
View our marketsTechnologyWelcome to Geek CityBack in 2003 we followed the footsteps of giants, mastering all the betting industry had to offer",,Welcome Bonus,,,https://www.10bet.org,2025-09-30T10:26:06.054885,-2709722283472866210,1,2025-09-30 08:26:11
141,BetWinner,AE,BetWinner Casino – Top Online Slots & Sports Betting      CasinoAboutBonusesAPK     English         ,"BetWinner Casino – Top Online Slots & Sports Betting      CasinoAboutBonusesAPK     English         Français      Português      Русский   Sign Up   Log In        Sign Up   Log In  BetWinner Casino – Your Ultimate Gaming Destination in Bangladesh BetWinner casino Bangladesh gathers online slots, live dealer tables, and sports wagers under one secure, mobile-ready roof",,Other,,,https://betwinner.casino,2025-09-30T10:25:41.337793,4990782984988402711,1,2025-09-30 08:26:11
91,BitStarz,AE,"    Bitstarz | Login, Welcome Package C$50 000 + 400 FS                                       Games ","    Bitstarz | Login, Welcome Package C$50 000 + 400 FS                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Bitstarz Bitstarz is one of the leading online casinos catering to Canadian players, providing a top-tier gaming experience under a robust license from Curacao (8048/JAZ2020-063)",$50,Welcome Bonus,,,https://www.bitstarz.bet,2025-09-30T10:17:15.947617,-7824452913625924512,1,2025-09-30 08:14:41
140,BitStarz,AE,"    Bitstarz | Login, Welcome Package C$50 000 + 400 FS                                       Games ","    Bitstarz | Login, Welcome Package C$50 000 + 400 FS                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Bitstarz Bitstarz is one of the leading online casinos catering to Canadian players, providing a top-tier gaming experience under a robust license from Curacao (8048/JAZ2020-063)",$50,Welcome Bonus,,,https://bitstarz.bet,2025-09-30T10:25:25.340934,8382788596383577016,1,2025-09-30 08:26:11
87,CasinoLab,AE,"




Casinolab Casino Review, Sportsbook, Casino Games & Exclusive Cashback Bonuses - Casinolab




","




Casinolab Casino Review, Sportsbook, Casino Games & Exclusive Cashback Bonuses - Casinolab

























Home
About
Games
Contact




5


Register








5



Register










CasinoLab Casino Review
Enter the exhilarating universe of CasinoLab—a dynamic destination crafted for players who crave top-tier entertainment and unparalleled rewards! At CasinoLab, we blend the charm of classic casino gaming with cutting-edge innovation to deliver a truly unforgettable experience",,Cashback,,,https://casinolab.casino,2025-09-30T10:15:43.911341,-6554494986721813631,1,2025-09-30 08:14:41
137,CasinoLab,AE,"




Casinolab Casino Review, Sportsbook, Casino Games & Exclusive Cashback Bonuses - Casinolab




","




Casinolab Casino Review, Sportsbook, Casino Games & Exclusive Cashback Bonuses - Casinolab

























Home
About
Games
Contact




5


Register








5



Register










CasinoLab Casino Review
Enter the exhilarating universe of CasinoLab—a dynamic destination crafted for players who crave top-tier entertainment and unparalleled rewards! At CasinoLab, we blend the charm of classic casino gaming with cutting-edge innovation to deliver a truly unforgettable experience",,Cashback,,,https://www.casinolab.casino,2025-09-30T10:25:14.975327,5184666421076817258,1,2025-09-30 08:26:11
136,CasinoLab,AE,"


CasinoLab 🎁 100 % jusqu’à 750 € + 200 FS et 1 bonus crab


 



















                 ","


CasinoLab 🎁 100 % jusqu’à 750 € + 200 FS et 1 bonus crab


 



















                                    Machines à sous
                                





                                    Connexion
                                





                                    Application
                                





                                    Bonus
                                







                S'inscrire
            

                Connexion
        ",,Other,,,https://www.casinolab.bet,2025-09-30T10:25:14.449005,-8093072184713406447,1,2025-09-30 08:26:11
