id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
93,10bet,AE,"




10Bet - 10bet






10Bet - 10bet
































10bet








 









🎰
🎲
","




10Bet - 10bet






10Bet - 10bet
































10bet








 









🎰
🎲
♠️
♥️
♦️
♣️



      Casino Games – Trusted Bookmaker, High Security, and Attractive Promotions
    

      If you are looking for a trusted bookmaker with high security and attractive payout rates, 
      Casino Games is the perfect choice",,Other,,,https://10bet.casino,2025-09-30T10:14:41.652129,-3620869164403282158,1,2025-09-30 08:14:41
92,10bet,AE,"
View our marketsTechnologyWelcome to Geek CityBack in 2003 we followed the footsteps of giants, mas","
View our marketsTechnologyWelcome to Geek CityBack in 2003 we followed the footsteps of giants, mastering all the betting industry had to offer",,Welcome Bonus,,,https://www.10bet.org,2025-09-30T10:14:40.569025,9076903521815872866,1,2025-09-30 08:14:41
91,BitStarz,AE,"    Bitstarz | Login, Welcome Package C$50 000 + 400 FS                                       Games ","    Bitstarz | Login, Welcome Package C$50 000 + 400 FS                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Bitstarz Bitstarz is one of the leading online casinos catering to Canadian players, providing a top-tier gaming experience under a robust license from Curacao (8048/JAZ2020-063)",$50,Welcome Bonus,,,https://www.bitstarz.bet,2025-09-30T10:14:08.795515,-7824452913625924512,1,2025-09-30 08:14:41
90,Lucky Block,AE,"







lucky block




















lucky block	










🏡Home
🎨Slots
🎡Blackjack
🏆Poker💰Jackpo","







lucky block




















lucky block	










🏡Home
🎨Slots
🎡Blackjack
🏆Poker💰Jackpots🎢Megaways🎄blog
log in













Fighter Fire - Game Overview
Fighter Fire is an action-packed battle game where players control a powerful warrior monkey fighting through intense levels",,Other,,,https://lucky-block.org,2025-09-30T10:14:02.471627,-1519520681435232983,1,2025-09-30 08:14:41
89,Lucky Block,AE,"




Lucky Block Casino | Play with Bitcoin and Crypto












































	","




Lucky Block Casino | Play with Bitcoin and Crypto












































		Skip to content	




Lucky Block




Menu					 
Close					 


Home
Bonus
Sports
Live Casino
 

LoginSign Up UKFRDEESPTNLSEIT 







🚀 200% Bonus Up to $25,000 + 50 FS
Join Telegram






				SIGN UP & GET UP TO				$25,000 Bonus

Claim Bonus











								
									Popular Games							

View All

















										
											Sportsbook									
View All


























			","$25,000",Other,,,https://luckyblock.net,2025-09-30T10:14:02.218736,2148755157058471617,1,2025-09-30 08:14:41
88,CasinoLab,AE," Features such as activity tracking, customizable deposit limits, and self-exclusion options empower"," Features such as activity tracking, customizable deposit limits, and self-exclusion options empower you to take control of your gaming experience",,Deposit Bonus,,,https://casinolab.casino/tournaments,2025-09-30T10:13:58.720471,5840518008845872101,1,2025-09-30 08:14:41
87,CasinoLab,AE,"




Casinolab Casino Review, Sportsbook, Casino Games & Exclusive Cashback Bonuses - Casinolab




","




Casinolab Casino Review, Sportsbook, Casino Games & Exclusive Cashback Bonuses - Casinolab

























Home
About
Games
Contact




5


Register








5



Register










CasinoLab Casino Review
Enter the exhilarating universe of CasinoLab—a dynamic destination crafted for players who crave top-tier entertainment and unparalleled rewards! At CasinoLab, we blend the charm of classic casino gaming with cutting-edge innovation to deliver a truly unforgettable experience",,Cashback,,,https://casinolab.casino,2025-09-30T10:13:57.641103,-6554494986721813631,1,2025-09-30 08:14:41
86,Rabona,AE,"







Welcome bonus 100% up to €500 + 200 FS + 1 Bonus Crab - Rabona Casino Review, Sign Up Info, ","







Welcome bonus 100% up to €500 + 200 FS + 1 Bonus Crab - Rabona Casino Review, Sign Up Info, Bonuses and More


































































Skip to content






Limited Time Offer From Rabona! Get up to 500% bonus on first Deposit",€500,Welcome Bonus,,,https://rabona.casino/welcome-bonus,2025-09-30T10:13:56.708633,7164039874954414341,1,2025-09-30 08:14:41
85,Rabona,AE,"










Rabona Casino Review, Sign Up Info, Bonuses and Much More































","










Rabona Casino Review, Sign Up Info, Bonuses and Much More








































































Skip to content






Limited Time Offer From Rabona! Get up to 500% bonus on first Deposit",500%,Deposit Bonus,,,https://www.rabona.casino,2025-09-30T10:13:53.908646,-7629627297804270741,1,2025-09-30 08:14:41
84,Emirbet,AE,"



Emirbet Casino | Bonus up to €1000 + 150 free spins 
















Games
Live Casino
Sports Be","



Emirbet Casino | Bonus up to €1000 + 150 free spins 
















Games
Live Casino
Sports Betting
Bonuses


    







Games
Live Casino
Sports Betting
Bonuses




Sign up


Login


    






Emirbet
Emit Bet Casino is your trusted choice in the world of online casinos",€1000,Free Spins,,,https://emirbet.casino,2025-09-30T10:13:41.114547,4497562469849356679,1,2025-09-30 08:14:41
