id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
218,Megapari,EG, NBANFLEngland Premier LeagueLive EventsFootballTennisBasketballBonusesWelcome Package1st Deposit bo," NBANFLEngland Premier LeagueLive EventsFootballTennisBasketballBonusesWelcome Package1st Deposit bonusAviator bonusDaily Cashback3rd Deposit bonus4th Deposit bonusSwitch between light, dark, and system themeDarkSystemLightPaymentsKYC PolicyT&CBonus termsF",,Welcome Bonus,,,https://www.megapari.bet/bonuses,2025-09-30T13:25:38.533054,1756152716472926250,1,2025-09-30 11:25:39
219,Megapari,EG,"





Megapari | betting and casino | Sign up and get a bonus






































","





Megapari | betting and casino | Sign up and get a bonus





























































































    RegistrationmpCricketLiveSportsBonusesMoreLive CasinoCasinoMegaGamesEsportsVirtual sportsFast betHunting and FishingBingoTV GamesScratch Cards Collapse blockStatisticsResultsBet historyFANTASTIC BONUSES FOR SPORTS BETTING AND CASINOGET AWESOME FREE BETS, FREE SPINS AND REAL MONEYPerfect ScorePredict the exact score – get a free bet!Learn M",1000 EUR,Free Spins,,,https://www.megapari.com,2025-09-30T13:25:36.501705,1582735866392557331,1,2025-09-30 11:25:39
216,Royal Vegas,EG,"    Royal Vegas — Login, $1200 Deposit Bonus                                       Games Sport Cyber","    Royal Vegas — Login, $1200 Deposit Bonus                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Royal Vegas Royal Vegas has long been recognized as a prime destination for online gaming enthusiasts seeking quality entertainment and reliable service",$1200,Deposit Bonus,,,https://royalvegas.casino,2025-09-30T13:24:43.169766,-7411331164907249558,1,2025-09-30 11:25:39
217,Royal Vegas,EG,"    Royal Vegas | Login, C$1200 Deposit Bonus                                       Games Sport Cybe","    Royal Vegas | Login, C$1200 Deposit Bonus                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Royal Vegas Royal Vegas Casino is one of Canada’s leading online gaming destinations, holding a respected Malta Gaming Authority (MGA) licence (licence number MGA/B2C/167/2008)",$1200,Deposit Bonus,,,https://www.royalvegas.bet,2025-09-30T13:24:43.063833,-5906890706349603826,1,2025-09-30 11:25:39
215,Spin Casino,EG, The internationally acclaimed Online Casino offers a wide selection of the most popular slots and t," The internationally acclaimed Online Casino offers a wide selection of the most popular slots and table games, first-class software, thrilling promotions, endless offers and friendly support around the clock",,Other,,,https://www.spincasino.net,2025-09-30T13:24:24.638778,-1588506321593801559,1,2025-09-30 11:25:39
214,Spin Casino,EG,"Play at Spin Casino – Get a $1000 Welcome Bonus Today!




enSign InSign UpSpinch gives you the real","Play at Spin Casino – Get a $1000 Welcome Bonus Today!




enSign InSign UpSpinch gives you the real deal! WelcomeJOIN NOWPremium Online CasinoAlright, listen up",$1000,Welcome Bonus,,,https://spincasino.bet,2025-09-30T13:24:20.852346,3813195504672547635,1,2025-09-30 11:25:39
166,Megapari,EG,"





Megapari | betting and casino | Sign up and get a bonus






































","





Megapari | betting and casino | Sign up and get a bonus





























































































    RegistrationmpCricketLiveSportsBonusesMoreLive CasinoCasinoMegaGamesEsportsVirtual sportsFast betHunting and FishingBingoTV GamesScratch Cards Collapse blockStatisticsResultsBet historyFANTASTIC BONUSES FOR SPORTS BETTING AND CASINOGET AWESOME FREE BETS, FREE SPINS AND REAL MONEYPerfect ScorePredict the exact score – get a free bet!Learn M",1000 EUR,Free Spins,,,https://megapari.com,2025-09-30T10:30:37.493635,-6775506356341581208,1,2025-09-30 08:30:41
167,Megapari,EG, NBANFLEngland Premier LeagueLive EventsFootballTennisBasketballBonusesWelcome Package1st Deposit bo," NBANFLEngland Premier LeagueLive EventsFootballTennisBasketballBonusesWelcome Package1st Deposit bonusAviator bonusDaily Cashback3rd Deposit bonus4th Deposit bonusSwitch between light, dark, and system themeDarkSystemLightPaymentsKYC PolicyT&CBonus termsF",,Welcome Bonus,,,https://megapari.bet,2025-09-30T10:30:36.868381,-4651034888909406858,1,2025-09-30 08:30:41
165,Royal Vegas,EG,"    Royal Vegas — Login, $1200 Deposit Bonus                                       Games Sport Cyber","    Royal Vegas — Login, $1200 Deposit Bonus                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Royal Vegas Royal Vegas has long been recognized as a prime destination for online gaming enthusiasts seeking quality entertainment and reliable service",$1200,Deposit Bonus,,,https://royalvegas.casino,2025-09-30T10:29:47.283679,-3600797927011341562,1,2025-09-30 08:30:41
164,Royal Vegas,EG,"    Royal Vegas | Login, C$1200 Deposit Bonus                                       Games Sport Cybe","    Royal Vegas | Login, C$1200 Deposit Bonus                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Royal Vegas Royal Vegas Casino is one of Canada’s leading online gaming destinations, holding a respected Malta Gaming Authority (MGA) licence (licence number MGA/B2C/167/2008)",$1200,Deposit Bonus,,,https://www.royalvegas.bet,2025-09-30T10:29:46.713096,4858676281121971451,1,2025-09-30 08:30:41
163,Spin Casino,EG,"Play at Spin Casino – Get a $1000 Welcome Bonus Today!




enSign InSign UpSpinch gives you the real","Play at Spin Casino – Get a $1000 Welcome Bonus Today!




enSign InSign UpSpinch gives you the real deal! WelcomeJOIN NOWPremium Online CasinoAlright, listen up",$1000,Welcome Bonus,,,https://spincasino.bet,2025-09-30T10:29:29.370629,-3094476154014866095,1,2025-09-30 08:30:41
162,Spin Casino,EG, The internationally acclaimed Online Casino offers a wide selection of the most popular slots and t," The internationally acclaimed Online Casino offers a wide selection of the most popular slots and table games, first-class software, thrilling promotions, endless offers and friendly support around the clock",,Other,,,https://www.spincasino.net,2025-09-30T10:29:28.489564,-1211831590074529753,1,2025-09-30 08:30:41
121,Megapari,EG,"





Megapari | betting and casino | Sign up and get a bonus






































","





Megapari | betting and casino | Sign up and get a bonus





























































































    RegistrationmpCricketLiveSportsBonusesMoreLive CasinoCasinoMegaGamesEsportsVirtual sportsFast betHunting and FishingBingoTV GamesScratch Cards Collapse blockStatisticsResultsBet historyFANTASTIC BONUSES FOR SPORTS BETTING AND CASINOGET AWESOME FREE BETS, FREE SPINS AND REAL MONEYPerfect ScorePredict the exact score – get a free bet!Learn M",1000 EUR,Free Spins,,,https://www.megapari.com,2025-09-30T10:19:33.876218,5548430598266396801,1,2025-09-30 08:19:37
122,Megapari,EG, NBANFLEngland Premier LeagueLive EventsFootballTennisBasketballBonusesWelcome Package1st Deposit bo," NBANFLEngland Premier LeagueLive EventsFootballTennisBasketballBonusesWelcome Package1st Deposit bonusAviator bonusDaily Cashback3rd Deposit bonus4th Deposit bonusSwitch between light, dark, and system themeDarkSystemLightPaymentsKYC PolicyT&CBonus termsF",,Welcome Bonus,,,https://megapari.bet,2025-09-30T10:19:32.820575,-4164158908616698075,1,2025-09-30 08:19:37
119,Royal Vegas,EG,"    Royal Vegas — Login, $1200 Deposit Bonus                                       Games Sport Cyber","    Royal Vegas — Login, $1200 Deposit Bonus                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Royal Vegas Royal Vegas has long been recognized as a prime destination for online gaming enthusiasts seeking quality entertainment and reliable service",$1200,Deposit Bonus,,,https://www.royalvegas.casino,2025-09-30T10:18:52.043309,-5435911697085267885,1,2025-09-30 08:19:37
120,Royal Vegas,EG,"    Royal Vegas | Login, C$1200 Deposit Bonus                                       Games Sport Cybe","    Royal Vegas | Login, C$1200 Deposit Bonus                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Royal Vegas Royal Vegas Casino is one of Canada’s leading online gaming destinations, holding a respected Malta Gaming Authority (MGA) licence (licence number MGA/B2C/167/2008)",$1200,Deposit Bonus,,,https://royalvegas.bet,2025-09-30T10:18:51.738273,4903908215003140042,1,2025-09-30 08:19:37
118,Spin Casino,EG, The internationally acclaimed Online Casino offers a wide selection of the most popular slots and t," The internationally acclaimed Online Casino offers a wide selection of the most popular slots and table games, first-class software, thrilling promotions, endless offers and friendly support around the clock",,Other,,,https://www.spincasino.net,2025-09-30T10:18:35.551187,4837816264062180981,1,2025-09-30 08:19:37
117,Spin Casino,EG,"Play at Spin Casino – Get a $1000 Welcome Bonus Today!




enSign InSign UpSpinch gives you the real","Play at Spin Casino – Get a $1000 Welcome Bonus Today!




enSign InSign UpSpinch gives you the real deal! WelcomeJOIN NOWPremium Online CasinoAlright, listen up",$1000,Welcome Bonus,,,https://spincasino.bet,2025-09-30T10:18:31.541770,1170588594670047204,1,2025-09-30 08:19:37
