id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
661,EmirBet,JO,Found 'bonus' on page,bonus up to €1000 + 150 free spins games live casino sports betting bonuses games live casino sports betting bonuses sign up login emirbet emit bet ca,,Other,,,https://emirbet.casino,2025-09-30T20:07:58.646021,-4590132549361858677,1,2025-09-30 18:09:41
662,EmirBet,JO,Found 'free spins' on page,free spins games live casino sports betting bonuses games live casino sports betting bonuses sign up login emirbet emit bet casino is your trusted cho,,Other,,,https://emirbet.casino,2025-09-30T20:07:58.646021,-7777243191171053760,1,2025-09-30 18:09:41
657,Rooster bet,JO,Found 'bonus' on page,"bonusar och en kundtjänst på svenska, vilket gör det enkelt för nya spelare att komma igång och upptäcka fördelarna med rooster bet casino. få upp til",,Other,,,https://rooster-bet.org,2025-09-30T20:06:03.668170,2618080692134970942,1,2025-09-30 18:09:41
658,Rooster bet,JO,Found 'jackpot' on page,jackpottspel och spännande live casino. spel rtp leverantör starburst 96.09% netent book of dead 96.21% play’n go gonzo’s quest 95.97% netent fire jok,,Other,,,https://rooster-bet.org,2025-09-30T20:06:03.668170,-3595723500354626264,1,2025-09-30 18:09:41
659,Rooster bet,JO,Found 'free spins' on page,free spins no deposit bonus 50 free spins vid registrering lojalitetsprogram vip club med exklusiva erbjudanden omsättningskrav 35x välkomstbonus för ,,Other,,,https://rooster-bet.org,2025-09-30T20:06:03.668170,-4954027066339288384,1,2025-09-30 18:09:41
660,Rooster bet,JO,Found 'deposit' on page,deposit bonus 50 free spins vid registrering lojalitetsprogram vip club med exklusiva erbjudanden omsättningskrav 35x välkomstbonus för nya spelare no,,Other,,,https://rooster-bet.org,2025-09-30T20:06:03.668170,1823282694764452062,1,2025-09-30 18:09:41
650,Casinia,JO,Found 'bonus' on page,bonus betting bonus code games review no deposit bonus log in register app bonus betting bonus code games review no deposit bonus casinia casino casin,,Other,,,https://www.casinia.casino,2025-09-30T20:03:43.950421,2011270823536831015,1,2025-09-30 18:09:41
651,Casinia,JO,Found 'promotion' on page,promotions funding options spin and bet on the go expert help experience secure and thrilling play faq why choose casinia casino field value website u,,Other,,,https://www.casinia.casino,2025-09-30T20:03:43.950421,7664568877831510889,1,2025-09-30 18:09:41
652,Casinia,JO,Found 'welcome' on page,welcome bonus 100% up to €500 + 200 fs join now navigation open close why choose casinia casino licensing and safety what’s good and what’s not game s,,Other,,,https://www.casinia.casino,2025-09-30T20:03:43.950421,-8016159618693086998,1,2025-09-30 18:09:41
653,Casinia,JO,Found 'jackpot' on page,"jackpots, slots, or sports, this casino offers a rich mix of opportunity and entertainment. welcome bonus 100% up to €500 + 200 fs join now navigation",,Other,,,https://www.casinia.casino,2025-09-30T20:03:43.950421,4377569948013142085,1,2025-09-30 18:09:41
