id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
209,CasinoMega,KU,"










































The Best Online Casino Games - Online Casino | CasinoMega","










































The Best Online Casino Games - Online Casino | CasinoMega






 


































































Login


Register






                                VIP
                            




en
pl
de
ar
ch
























                        Casino
                    




                        Live Casino
                    




                        Sports
                    




            ",,Other,,,https://casinomega.com/tournaments,2025-09-30T13:22:21.483798,-9159137821852393596,1,2025-09-30 11:23:01
212,CasinoMega,KU,"










































Online Casino Bonuses - Sport Betting Bonuses | CasinoMeg","










































Online Casino Bonuses - Sport Betting Bonuses | CasinoMega






 

































































Login


Register






                                VIP
                            




en
pl
de
ar
ch
























                        Casino
                    




                        Live Casino
                    




                        Sports
                    




            ",€500,Welcome Bonus,,,https://casinomega.com/welcome-bonus,2025-09-30T13:22:20.108930,7146441766350275047,1,2025-09-30 11:23:01
211,CasinoMega,KU,"    Casinomega — Login, Bonus AU$1000 + 180 Free Spins                                 Games Live Ca","    Casinomega — Login, Bonus AU$1000 + 180 Free Spins                                 Games Live Casino Spots Betting Bonuses    Login Sign Up                     Login Sign Up    Games Live Casino Spots Betting Bonuses           Casinomega Step into the world of Casinomega, where Aussie players discover a thrilling gaming experience tailored just for them",$1000,Free Spins,,,https://casinomega.bet,2025-09-30T13:22:14.084374,-9166854572333685281,1,2025-09-30 11:23:01
210,CasinoMega,KU,"com, the first impression is clarity: clean navigation, quick access to games and promotions, and on","com, the first impression is clarity: clean navigation, quick access to games and promotions, and onboarding that doesn’t feel like paperwork",,Other,,,https://www.casinomega.org,2025-09-30T13:22:13.760921,-3995240245246035546,1,2025-09-30 11:23:01
208,CoinCasino,KU,"    Coin Casino — Login, Get up to €1,000 + 100 FS                                       Games Sport","    Coin Casino — Login, Get up to €1,000 + 100 FS                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Coincasino Coincasino stands as one of the most innovative and player-focused online casinos in the UK market today","€1,000",Tournament,,,https://www.coincasino.casino,2025-09-30T13:21:42.533811,-3604874795861734558,1,2025-09-30 11:23:01
159,CasinoMega,KU,"    Casinomega — Login, Bonus AU$1000 + 180 Free Spins                                 Games Live Ca","    Casinomega — Login, Bonus AU$1000 + 180 Free Spins                                 Games Live Casino Spots Betting Bonuses    Login Sign Up                     Login Sign Up    Games Live Casino Spots Betting Bonuses           Casinomega Step into the world of Casinomega, where Aussie players discover a thrilling gaming experience tailored just for them",$1000,Free Spins,,,https://www.casinomega.bet,2025-09-30T10:28:52.488750,4886562160366343161,1,2025-09-30 08:28:28
160,CasinoMega,KU,"










































The Best Online Casino Games - Online Casino | CasinoMega","










































The Best Online Casino Games - Online Casino | CasinoMega






 


































































Login


Register






                                VIP
                            




en
pl
de
ar
ch
























                        Casino
                    




                        Live Casino
                    




                        Sports
                    




            ",,Other,,,https://www.casinomega.com,2025-09-30T10:28:52.211843,4684927259779143434,1,2025-09-30 08:28:28
158,CoinCasino,KU,"    Coin Casino — Login, Get up to €1,000 + 100 FS                                       Games Sport","    Coin Casino — Login, Get up to €1,000 + 100 FS                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Coincasino Coincasino stands as one of the most innovative and player-focused online casinos in the UK market today","€1,000",Tournament,,,https://www.coincasino.casino,2025-09-30T10:28:29.310131,8001430632239737446,1,2025-09-30 08:28:28
157,888 Casino,KU,"888 Casino Canada | Fast Login and Secure Registration
Sign InSign UpConnectNo Deposit Bonus – C$88 ","888 Casino Canada | Fast Login and Secure Registration
Sign InSign UpConnectNo Deposit Bonus – C$88 FreeGET BONUSLog in 888Casino Official Ready for a thrill? 888 Casino is your gateway to top-tier online gaming in Canada",$88,Deposit Bonus,,,https://888-casino.org,2025-09-30T10:27:33.471187,7664597018376805764,1,2025-09-30 08:28:28
113,CasinoMega,KU,"










































The Best Online Casino Games - Online Casino | CasinoMega","










































The Best Online Casino Games - Online Casino | CasinoMega






 


































































Login


Register






                                VIP
                            




en
pl
de
ar
ch
























                        Casino
                    




                        Live Casino
                    




                        Sports
                    




            ",,Other,,,https://casinomega.com/tournaments,2025-09-30T10:18:03.368626,-4174357552481642681,1,2025-09-30 08:17:31
