id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
749,highroller,NZ,Found 'bonus' on page,"bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthl",,Other,,,https://www.highroller.nz/tournaments,2025-09-30T20:18:13.537742,2775488487422603803,1,2025-09-30 18:18:26
750,highroller,NZ,Found 'promotion' on page,promotions expand let’s roll – 100% bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – p,,Other,,,https://www.highroller.nz/tournaments,2025-09-30T20:18:13.537742,-4086029828211349065,1,2025-09-30 18:18:26
751,highroller,NZ,Found 'jackpot' on page,jackpot splash! sunday swagger – your happy hour bonus! every week – pick & play! deposit & get free spins – your choice! payment methods login regist,,Other,,,https://www.highroller.nz/tournaments,2025-09-30T20:18:13.537742,-8669689587099965159,1,2025-09-30 18:18:26
752,highroller,NZ,Found 'free spins' on page,"free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthly cash prizes – join dr",,Other,,,https://www.highroller.nz/tournaments,2025-09-30T20:18:13.537742,-5845134927416342695,1,2025-09-30 18:18:26
753,highroller,NZ,Found 'deposit' on page,deposit & get free spins – your choice! payment methods login registration toggle menu oops! that page can’t be found. it looks like nothing was found,,Other,,,https://www.highroller.nz/tournaments,2025-09-30T20:18:13.537742,1682351174020719091,1,2025-09-30 18:18:26
744,highroller,NZ,Found 'bonus' on page,"bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthl",,Other,,,https://www.highroller.nz/welcome-bonus,2025-09-30T20:18:09.361311,-1023837594304954441,1,2025-09-30 18:18:26
745,highroller,NZ,Found 'promotion' on page,promotions expand let’s roll – 100% bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – p,,Other,,,https://www.highroller.nz/welcome-bonus,2025-09-30T20:18:09.361311,-6518943487180777138,1,2025-09-30 18:18:26
746,highroller,NZ,Found 'jackpot' on page,jackpot splash! sunday swagger – your happy hour bonus! every week – pick & play! deposit & get free spins – your choice! payment methods login regist,,Other,,,https://www.highroller.nz/welcome-bonus,2025-09-30T20:18:09.361311,-7760060325666890383,1,2025-09-30 18:18:26
747,highroller,NZ,Found 'free spins' on page,"free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthly cash prizes – join dr",,Other,,,https://www.highroller.nz/welcome-bonus,2025-09-30T20:18:09.361311,7304491795697462853,1,2025-09-30 18:18:26
748,highroller,NZ,Found 'deposit' on page,deposit & get free spins – your choice! payment methods login registration toggle menu oops! that page can’t be found. it looks like nothing was found,,Other,,,https://www.highroller.nz/welcome-bonus,2025-09-30T20:18:09.361311,2873091017551481452,1,2025-09-30 18:18:26
